Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC
Random Forest,0.9703,0.9424,0.6929411764705883,0.7986440677966101,0.9622866602378657
SVM,0.9645,0.96875,0.601764705882353,0.7423802612481858,0.9337359852137577
Logistic Regression,0.96045,0.8587213891081295,0.64,0.7334007414897202,0.9625004018000642
k-NN,0.96055,0.8786367414796342,0.6217647058823529,0.7282121942817775,0.9017161684345869
Decision Tree,0.95085,0.7006155567991047,0.7364705882352941,0.7180957843418411,0.8545803921568628
